suburb,postcode,primary_postcode_sales_rows,suburb_total_sales_rows,primary_postcode_share
CAIRNCROSS,2446,1,1,1.0
CALAMIA,2460,1,1,1.0
CAMBOON,2849,1,1,1.0
CAMDEN HEAD,2443,1,1,1.0
CANADA BAY,2046,1,1,1.0
CAPERTEE,2846,1,1,1.0
CAPTAINS FLAT,2623,1,1,1.0
CARCOAR,2791,1,1,1.0
CARGO,2800,1,1,1.0
CARINDA,2831,1,1,1.0
CARNES HILL,2171,1,1,1.0
CARROLL,2340,1,1,1.0
CARROWBROOK,2330,1,1,1.0
CASSILIS,2329,1,1,1.0
CASTLE ROCK,2333,1,1,1.0
CATTAI,2756,1,1,1.0
CEDAR PARTY,2429,1,1,1.0
CENTRAL TILBA,2546,1,1,1.0
CHARBON,2848,1,1,1.0
CHILCOTTS GRASS,2480,1,1,1.0
CHILLINGHAM,2484,1,1,1.0
CLOVASS,2480,1,1,1.0
COLEAMBALLY,2707,1,1,1.0
COLLINGULLIE,2650,1,1,1.0
COLLINGWOOD,2850,1,1,1.0
COLLY BLUE,2343,1,1,1.0
COLO HEIGHTS,2756,1,1,1.0
CONGEWAI,2325,1,1,1.0
CONGO,2537,1,1,1.0
CONJOLA PARK,2539,1,1,1.0
COOKS GAP,2850,1,1,1.0
COOLAGOLITE,2550,1,1,1.0
COOLANGATTA,2535,1,1,1.0
COOMBA BAY,2428,1,1,1.0
COOTRALANTRA,2628,1,1,1.0
COOYAL,2850,1,1,1.0
COPELAND,2422,1,1,1.0
CORAMBA,2450,1,1,1.0
CORBIE HILL,2705,1,1,1.0
CORNDALE,2480,1,1,1.0
COWPER,2460,1,1,1.0
CRAVEN,2422,1,1,1.0
CROPPA CREEK,2411,1,1,1.0
CUDAL,2864,1,1,1.0
CUMBERLAND REACH,2756,1,1,1.0
CUMNOCK,2867,1,1,1.0
CURL CURL,2096,1,1,1.0
CURLEWIS,2381,1,1,1.0
CURRAWANG,2580,1,1,1.0
DACEYVILLE,2032,1,1,1.0
DARGAN,2786,1,1,1.0
DARUKA,2340,1,1,1.0
DAWES POINT,2000,1,1,1.0
DEEP CREEK,2440,1,1,1.0
DEEPWATER,2371,1,1,1.0
DELUNGRA,2403,1,1,1.0
DENISTONE WEST,2114,1,1,1.0
DEUA RIVER VALLEY,2537,1,1,1.0
DIGGERS CAMP,2462,1,1,1.0
DOBIES BIGHT,2470,1,1,1.0
DOLPHIN POINT,2539,1,1,1.0
DOMBARTON,2530,1,1,1.0
DOON DOON,2484,1,1,1.0
DOORALONG,2259,1,1,1.0
DUCKMALOI,2787,1,1,1.0
DULGUIGAN,2484,1,1,1.0
DUNBIBLE,2484,1,1,1.0
DUNGOWAN,2340,1,1,1.0
DUNOON,2480,1,1,1.0
DUNS CREEK,2321,1,1,1.0
DURANBAH,2487,1,1,1.0
DYERS CROSSING,2429,1,1,1.0
EAST CORAKI,2471,1,1,1.0
EAST JINDABYNE,2627,1,1,1.0
EAST SEAHAM,2324,1,1,1.0
EAST WAGGA WAGGA,2650,1,1,1.0
EASTERN CREEK,2766,1,1,1.0
EDITH,2787,1,1,1.0
ELLENBOROUGH,2446,1,1,1.0
EMERALD HILL,2380,1,1,1.0
ENGLORIE PARK,2560,1,1,1.0
ENVIRONA,2620,1,1,1.0
ERINA HEIGHTS,2260,1,1,1.0
EROWAL BAY,2540,1,1,1.0
ESSINGTON,2787,1,1,1.0
ETTRICK,2474,1,1,1.0
EUABALONG,2877,1,1,1.0
EUCHAREENA,2866,1,1,1.0
EUNGAI CREEK,2441,1,1,1.0
EUROBODALLA,2545,1,1,1.0
EUROKA,2440,1,1,1.0
EUROLEY,2700,1,1,1.0
EWINGSDALE,2481,1,1,1.0
EXETER,2579,1,1,1.0
FAIRY HILL,2470,1,1,1.0
FASSIFERN,2283,1,1,1.0
FAULKLAND,2422,1,1,1.0
FERNMOUNT,2454,1,1,1.0
FERNVALE,2484,1,1,1.0
FIDDLETOWN,2159,1,1,1.0
FIREFLY,2429,1,1,1.0
FISHING POINT,2283,1,1,1.0
FLAT TOPS,2420,1,1,1.0
FOSTERTON,2420,1,1,1.0
FROG ROCK,2850,1,1,1.0
FROGS HOLLOW,2550,1,1,1.0
GARAH,2405,1,1,1.0
GENEVA,2474,1,1,1.0
GERROA,2534,1,1,1.0
GIBBERAGEE,2469,1,1,1.0
GILGAI,2360,1,1,1.0
GLADSTONE,2440,1,1,1.0
GLANMIRE,2795,1,1,1.0
GLENCOE,2365,1,1,1.0
GLENIFFER,2454,1,1,1.0
GLENUGIE,2460,1,1,1.0
GOODMANS FORD,2575,1,1,1.0
GOODWOOD ISLAND,2469,1,1,1.0
GOONENGERRY,2482,1,1,1.0
GRABBEN GULLEN,2583,1,1,1.0
GRADYS CREEK,2474,1,1,1.0
GRAMAN,2360,1,1,1.0
GRATTAI,2850,1,1,1.0
GREAT MARLOW,2460,1,1,1.0
GREEN GULLY,2850,1,1,1.0
GREENDALE,2550,1,1,1.0
GREENLEIGH,2620,1,1,1.0
GUMMA,2447,1,1,1.0
GUNDARY,2580,1,1,1.0
GUNDY,2337,1,1,1.0
GUNNING,2581,1,1,1.0
GUNTAWANG,2852,1,1,1.0
HARDYS BAY,2257,1,1,1.0
HARGRAVES,2850,1,1,1.0
HARTLEY VALE,2790,1,1,1.0
HARWOOD,2465,1,1,1.0
HASTINGS POINT,2489,1,1,1.0
HAYWARDS BAY,2530,1,1,1.0
HEATHERBRAE,2324,1,1,1.0
HECKENBERG,2168,1,1,1.0
HERMITAGE FLAT,2790,1,1,1.0
HILLGROVE,2350,1,1,1.0
HINTON,2321,1,1,1.0
HOBBYS YARDS,2795,1,1,1.0
HOPKINS CREEK,2484,1,1,1.0
HUONBROOK,2482,1,1,1.0
ILARWILL,2463,1,1,1.0
INDI,2642,1,1,1.0
INGEBIRAH,2627,1,1,1.0
INGLESIDE,2101,1,1,1.0
IRVINGTON,2470,1,1,1.0
JAMBEROO,2533,1,1,1.0
JAUNTER,2787,1,1,1.0
JEREMADRA,2536,1,1,1.0
JERSEYVILLE,2431,1,1,1.0
JOADJA,2575,1,1,1.0
JOHNS RIVER,2443,1,1,1.0
KAINS FLAT,2850,1,1,1.0
KANIMBLA,2790,1,1,1.0
KEMPS CREEK,2178,1,1,1.0
KIAMA HEIGHTS,2533,1,1,1.0
KIKIAMAH,2594,1,1,1.0
KILLABAKH,2429,1,1,1.0
KILLAWARRA,2429,1,1,1.0
KILLCARE,2257,1,1,1.0
KILLINGWORTH,2278,1,1,1.0
KINCHELA,2440,1,1,1.0
KINCUMBER SOUTH,2251,1,1,1.0
KINGFISHER SHORES,2259,1,1,1.0
KINGSDALE,2580,1,1,1.0
KINVARA,2478,1,1,1.0
KIORA,2537,1,1,1.0
KOONORIGAN,2480,1,1,1.0
KOORAINGHAT,2430,1,1,1.0
KOTARA SOUTH,2289,1,1,1.0
KUNDIBAKH,2429,1,1,1.0
KUNGHUR,2484,1,1,1.0
KURNELL,2231,1,1,1.0
KYEEMAGH,2216,1,1,1.0
LAKE CARGELLIGO,2672,1,1,1.0
LAKE CONJOLA,2539,1,1,1.0
LAKE GEORGE,2581,1,1,1.0
LAKE INNES,2446,1,1,1.0
LAPSTONE,2773,1,1,1.0
LAUGHTONDALE,2775,1,1,1.0
LEETS VALE,2775,1,1,1.0
LEWIS PONDS,2800,1,1,1.0
LIDSDALE,2790,1,1,1.0
LINBURN,2850,1,1,1.0
LITTLE BILLABONG,2644,1,1,1.0
LITTLE HARTLEY,2790,1,1,1.0
LLANGOTHLIN,2365,1,1,1.0
LOCKHART,2656,1,1,1.0
LOGANS CROSSING,2439,1,1,1.0
LONGREACH,2540,1,1,1.0
LORNE,2439,1,1,1.0
LOWER BELFORD,2335,1,1,1.0
LOWER BORO,2580,1,1,1.0
LOWER CREEK,2440,1,1,1.0
LOWER PEACOCK,2469,1,1,1.0
LOWER PORTLAND,2756,1,1,1.0
MAIANBAR,2230,1,1,1.0
MAIN CREEK,2420,1,1,1.0
MAJORS CREEK,2622,1,1,1.0
MALDON,2571,1,1,1.0
MANGOPLAH,2652,1,1,1.0
MANNING POINT,2430,1,1,1.0
MARLEE,2429,1,1,1.0
MARLO MERRICAN,2441,1,1,1.0
MARYVALE,2820,1,1,1.0
MEADOW FLAT,2795,1,1,1.0
MEDLOW BATH,2780,1,1,1.0
MELINGA,2430,1,1,1.0
MENINDEE,2879,1,1,1.0
MEROO MEADOW,2540,1,1,1.0
MIDDLE ARM,2580,1,1,1.0
MIDDLE BROOK,2337,1,1,1.0
MIDDLE COVE,2068,1,1,1.0
MIDDLE FLAT,2630,1,1,1.0
MILLIE,2397,1,1,1.0
MILLINGANDI,2549,1,1,1.0
MINMI,2287,1,1,1.0
MINNAMURRA,2533,1,1,1.0
MINNIE WATER,2462,1,1,1.0
MINORE,2830,1,1,1.0
MIRADOR,2548,1,1,1.0
MITCHELL,2795,1,1,1.0
MITCHELLS FLAT,2330,1,1,1.0
MITCHELLS ISLAND,2430,1,1,1.0
MOGILLA,2550,1,1,1.0
MONALTRIE,2480,1,1,1.0
MONTEAGLE,2594,1,1,1.0
MONTEFIORES,2820,1,1,1.0
MOOBALL,2483,1,1,1.0
MOONBAH,2627,1,1,1.0
MOONEY MOONEY,2083,1,1,1.0
MOORONG,2650,1,1,1.0
MOPARRABAH,2440,1,1,1.0
MORANS CROSSING,2550,1,1,1.0
MOUNT BURRELL,2484,1,1,1.0
MOUNT MITCHELL,2365,1,1,1.0
MOUNT MURRAY,2577,1,1,1.0
MOUNT OLIVE,2330,1,1,1.0
MOUNT RANKIN,2795,1,1,1.0
MOUNT SEAVIEW,2446,1,1,1.0
MOUNT TOMAH,2758,1,1,1.0
MOUNT VINCENT,2323,1,1,1.0
MOUNT WHITE,2250,1,1,1.0
MULGOA,2745,1,1,1.0
MULLION CREEK,2800,1,1,1.0
MUNGAY CREEK,2440,1,1,1.0
MUNNI,2420,1,1,1.0
MURRAH,2546,1,1,1.0
MURRAY DOWNS,2734,1,1,1.0
MUSCLE CREEK,2333,1,1,1.0
MUTTAMA,2722,1,1,1.0
MYLESTOM,2454,1,1,1.0
MYRTLE MOUNTAIN,2550,1,1,1.0
MYSTERY BAY,2546,1,1,1.0
NATTAI,2570,1,1,1.0
NEATH,2326,1,1,1.0
NELSONS PLAINS,2324,1,1,1.0
NEMINGHA,2340,1,1,1.0
NERICON,2680,1,1,1.0
NERRIGA,2622,1,1,1.0
NEUREA,2820,1,1,1.0
NEW BERRIMA,2577,1,1,1.0
NEW BRIGHTON,2483,1,1,1.0
NEW BUILDINGS,2550,1,1,1.0
NORTH BOURKE,2840,1,1,1.0
NORTH SHORE,2444,1,1,1.0
NORTH WAGGA WAGGA,2650,1,1,1.0
NORTHWOOD,2066,1,1,1.0
NOWENDOC,2354,1,1,1.0
NOWRA HILL,2540,1,1,1.0
NULKABA,2325,1,1,1.0
NULLICA,2551,1,1,1.0
OLD ADAMINABY,2629,1,1,1.0
OLD BONALBO,2469,1,1,1.0
OLD JUNEE,2652,1,1,1.0
ONE MILE,2316,1,1,1.0
ORIENT POINT,2540,1,1,1.0
PADDYS RIVER,2653,1,1,1.0
PALLAMALLAWA,2399,1,1,1.0
PAMPOOLAH,2430,1,1,1.0
PARINGI,2738,1,1,1.0
PAYNES CROSSING,2325,1,1,1.0
PEAK VIEW,2630,1,1,1.0
PELAW MAIN,2327,1,1,1.0
PELTON,2325,1,1,1.0
PEMBROOKE,2446,1,1,1.0
PERTHVILLE,2795,1,1,1.0
PHILLIP BAY,2036,1,1,1.0
PIAMBONG,2850,1,1,1.0
POINTER MOUNTAIN,2539,1,1,1.0
POMONA,2648,1,1,1.0
POTATO POINT,2545,1,1,1.0
PRETTY BEACH,2257,1,1,1.0
PRIMROSE VALLEY,2621,1,1,1.0
PUMPENBIL,2484,1,1,1.0
PUTTY,2330,1,1,1.0
PYREE,2540,1,1,1.0
QUAMBONE,2831,1,1,1.0
RAINBOW REACH,2440,1,1,1.0
RAMORNIE,2460,1,1,1.0
RAND,2642,1,1,1.0
RANNOCK,2701,1,1,1.0
RED ROCK,2456,1,1,1.0
REIDS FLAT,2586,1,1,1.0
RICHMOND HILL,2480,1,1,1.0
RIVERLEA,2850,1,1,1.0
RIVERSIDE,2444,1,1,1.0
ROCK FOREST,2795,1,1,1.0
ROCKY POINT,2259,1,1,1.0
ROOKHURST,2422,1,1,1.0
ROSEBANK,2480,1,1,1.0
ROSEWOOD,2446,1,1,1.0
ROUND MOUNTAIN,2484,1,1,1.0
ROUS,2477,1,1,1.0
ROUS MILL,2477,1,1,1.0
RUN-O-WATERS,2580,1,1,1.0
RUSHFORTH,2460,1,1,1.0
SACKVILLE,2756,1,1,1.0
SALT ASH,2318,1,1,1.0
SAN ISIDORE,2650,1,1,1.0
SANCROX,2446,1,1,1.0
SANDILANDS,2469,1,1,1.0
SANDY HOLLOW,2333,1,1,1.0
SANDY POINT,2172,1,1,1.0
SAWYERS GULLY,2326,1,1,1.0
SEAHAM,2324,1,1,1.0
SHANES PARK,2747,1,1,1.0
SHANNON BROOK,2470,1,1,1.0
SKINNERS SHOOT,2481,1,1,1.0
SMEATON GRANGE,2567,1,1,1.0
SMITHS CREEK,2484,1,1,1.0
SOFALA,2795,1,1,1.0
SOUTH GOLDEN BEACH,2483,1,1,1.0
SOUTH MAROOTA,2756,1,1,1.0
SOUTH PAMBULA,2549,1,1,1.0
SPENCER,2775,1,1,1.0
SPLITTERS CREEK,2640,1,1,1.0
SPRING FLAT,2850,1,1,1.0
SPRING HILL,2800,1,1,1.0
SPRINGSIDE,2800,1,1,1.0
STEWARTS BROOK,2337,1,1,1.0
STOCKINBINGAL,2725,1,1,1.0
STOKERS SIDING,2484,1,1,1.0
STONEHENGE,2370,1,1,1.0
STONY CREEK,2550,1,1,1.0
STRATFORD,2422,1,1,1.0
STUART TOWN,2820,1,1,1.0
STUARTS POINT,2441,1,1,1.0
STUBBO,2852,1,1,1.0
SUMMER HILL CREEK,2800,1,1,1.0
SUNNY CORNER,2795,1,1,1.0
SUNSHINE,2264,1,1,1.0
SWANHAVEN,2540,1,1,1.0
SWANSEA HEADS,2281,1,1,1.0
TABULAM,2469,1,1,1.0
TACOMA,2259,1,1,1.0
TANJA,2550,1,1,1.0
TANTAWANGALO,2550,1,1,1.0
TAPITALLEE,2540,1,1,1.0
TARALGA,2580,1,1,1.0
TARBAN,2372,1,1,1.0
TARBUCK BAY,2428,1,1,1.0
TARRO,2322,1,1,1.0
THE BRANCH,2425,1,1,1.0
THE JUNCTION,2291,1,1,1.0
THE WHITEMAN,2460,1,1,1.0
THERESA PARK,2570,1,1,1.0
TIGHES HILL,2297,1,1,1.0
TOMINGLEY,2869,1,1,1.0
TOORAWEENAH,2817,1,1,1.0
TORRYBURN,2421,1,1,1.0
TRUNDLE,2875,1,1,1.0
TUBBUL,2594,1,1,1.0
TUCABIA,2462,1,1,1.0
TUCKURIMBA,2480,1,1,1.0
TULLAMORE,2874,1,1,1.0
TWENTY FORESTS,2795,1,1,1.0
TYALGUM,2484,1,1,1.0
UKI,2484,1,1,1.0
ULMARRA,2462,1,1,1.0
UPPER CORINDI,2456,1,1,1.0
UPPER DARTBROOK,2336,1,1,1.0
UPPER HORSESHOE CREEK,2474,1,1,1.0
UPPER KANGAROO RIVER,2577,1,1,1.0
UPPER ORARA,2450,1,1,1.0
UPPER TAYLORS ARM,2447,1,1,1.0
URALBA,2477,1,1,1.0
URLIUP,2484,1,1,1.0
VALLA,2448,1,1,1.0
WADEVILLE,2474,1,1,1.0
WALLACIA,2745,1,1,1.0
WALLANGRA,2360,1,1,1.0
WALLAROO,2618,1,1,1.0
WANDANDIAN,2540,1,1,1.0
WAREEMBA,2046,1,1,1.0
WATERFALL,2233,1,1,1.0
WATSONS BAY,2030,1,1,1.0
WATTLE FLAT,2795,1,1,1.0
WATTLE PONDS,2330,1,1,1.0
WATTLE SPRINGS,2357,1,1,1.0
WAY WAY,2447,1,1,1.0
WAYO,2580,1,1,1.0
WEST CORAKI,2471,1,1,1.0
WEST HAVEN,2443,1,1,1.0
WESTBROOK,2330,1,1,1.0
WHITE CLIFFS,2836,1,1,1.0
WHITTINGHAM,2330,1,1,1.0
WILCANNIA,2836,1,1,1.0
WILDES MEADOW,2577,1,1,1.0
WILLAWARRIN,2440,1,1,1.0
WILLI WILLI,2440,1,1,1.0
WILLIAMTOWN,2318,1,1,1.0
WILLOW TREE,2339,1,1,1.0
WILSONS CREEK,2482,1,1,1.0
WIMBLEDON,2795,1,1,1.0
WINDELLA,2320,1,1,1.0
WINDERA,2800,1,1,1.0
WINDSOR DOWNS,2756,1,1,1.0
WITTITRIN,2440,1,1,1.0
WOLLOGORANG,2581,1,1,1.0
WOLLOMOMBI,2350,1,1,1.0
WOODENBONG,2476,1,1,1.0
WOODFORD,2778,1,1,1.0
WOODRISING,2284,1,1,1.0
WOODSIDE,2372,1,1,1.0
WOOLBROOK,2354,1,1,1.0
WOOLI,2462,1,1,1.0
WOOLOMIN,2340,1,1,1.0
WOOLOWEYAH,2464,1,1,1.0
WOOMARGAMA,2644,1,1,1.0
WOOTTON,2423,1,1,1.0
WOOYUNG,2483,1,1,1.0
WYANGLE,2720,1,1,1.0
WYBONG,2333,1,1,1.0
WYRALLAH,2480,1,1,1.0
YARRANBELLA,2447,1,1,1.0
YARRAWA,2328,1,1,1.0
YARRAWONGA,2850,1,1,1.0
YARRIE LAKE,2388,1,1,1.0
YARROWITCH,2354,1,1,1.0
YASS RIVER,2582,1,1,1.0
YATTALUNGA,2251,1,1,1.0
YEOVAL,2868,1,1,1.0
YERRANDERIE,2787,1,1,1.0
YORKLEA,2470,1,1,1.0
MAYFIELD,2304,28,30,0.9333333333333333
GREEN POINT,2251,13,14,0.9285714285714286
KINGSWOOD,2747,34,39,0.8717948717948718
BOAT HARBOUR,2316,6,7,0.8571428571428571
LILLI PILLI,2229,4,7,0.5714285714285714
SILVERWATER,2128,3,6,0.5
DARLINGTON,2008,2,4,0.5
LAMBS VALLEY,2335,1,2,0.5
